Date;ALV_High;ALV_Low;Last;Previous Day Price;ALV_Volume;GOOGL_Open;GOOGL_High;GOOGL_Low;GOOGL_Close;GOOGL_Volume;Ex-Dividend_x;Split Ratio_x;Adj. Open_x;Adj. High_x;Adj. Low_x;Adj. Close_x;Adj. Volume_x;FB_Open;FB_High;FB_Low;FB_Close;FB_Volume;Ex-Dividend_y;Split Ratio_y;Adj. Open_y;Adj. High_y;Adj. Low_y;Adj. Close_y;Adj. Volume_y;MSCI_Open;MSCI_High;MSCI_Low;Settle;MSCI_Volume;Prev. Day Open Interest;year;month;weekday
2012-11-06;;;;;;;;;;;;;;;;;;21.24;21.37;20.99;21.1712;29062700.0;0.0;1.0;21.24;21.37;20.99;21.1712;29062700.0;;;;;;;2012;11;1
2012-11-07;;;;;;;;;;;;;;;;;;20.85;20.95;20.37;20.47;33396800.0;0.0;1.0;20.85;20.95;20.37;20.47;33396800.0;;;;;;;2012;11;2
2012-11-08;;;;;;;;;;;;;;;;;;20.52;20.73;19.98;19.99;34254600.0;0.0;1.0;20.52;20.73;19.98;19.99;34254600.0;;;;;;;2012;11;3
2012-11-09;;;;;;;;;;;;;;;;;;19.955;20.0;19.13;19.21;42295500.0;0.0;1.0;19.955;20.0;19.13;19.21;42295500.0;;;;;;;2012;11;4
2012-11-12;;;;;;;;;;;;;;;;;;19.15;20.17;18.87;20.07;67349200.0;0.0;1.0;19.15;20.17;18.87;20.07;67349200.0;;;;;;;2012;11;0
2012-11-13;;;;;;;;;;;;;;;;;;19.605;20.11;19.56;19.86;71775100.0;0.0;1.0;19.605;20.11;19.56;19.86;71775100.0;;;;;;;2012;11;1
2012-11-14;;;;;;;;;;;;;;;;;;20.1;22.5;19.93;22.36;229751000.0;0.0;1.0;20.1;22.5;19.93;22.36;229751000.0;;;;;;;2012;11;2
2012-11-15;;;;;;;;;;;;;;;;;;22.34;22.5;21.65;22.17;78857700.0;0.0;1.0;22.34;22.5;21.65;22.17;78857700.0;;;;;;;2012;11;3
2012-11-16;;;;;;;;;;;;;;;;;;22.25;23.93;22.18;23.5607;107182200.0;0.0;1.0;22.25;23.93;22.18;23.5607;107182200.0;;;;;;;2012;11;4
2012-11-19;;;;;;;;;;;;;;;;;;23.955;24.12;22.82;22.92;85021300.0;0.0;1.0;23.955;24.12;22.82;22.92;85021300.0;;;;;;;2012;11;0
2012-11-20;;;;;;;;;;;;;;;;;;22.73;23.9;22.7;23.1;46655300.0;0.0;1.0;22.73;23.9;22.7;23.1;46655300.0;;;;;;;2012;11;1
2012-11-21;;;;;;;;;;;;;;;;;;23.22;24.53;23.05;24.32;89862400.0;0.0;1.0;23.22;24.53;23.05;24.32;89862400.0;;;;;;;2012;11;2
